FORMA|KEY|SIGL
les|les1|v
genz|genz|v
dou|dou|v
##|##
païs|païs|v
qi|qi|v
virent|virent|v
paris|paris|v
et|et|v
##|##
sa|sa|v
conpaignie|conpaignie|v
ensi|ensi|v
ahornés|ahornés2|v
et|et|v
##|##
aparoillés|aparoillés1|v
,|,|v
les|les4|v
demanderent|demanderent|v
et|et|v
##|##
enqistrent|enqistrent|v
moult_de|moult_de|v
lor|lor1|v
estre|estre1|v
,|,|v
##|##
et|et|v
donc|donc1|v
il|il1|v
estoient|estoient1|v
et|et|v
##|##
qi|qi5|v
·l|·l|v
aloient|aloient|v
chersant|chersant|v
par|par|v
##|##
cele|cele|v
contree|contree|v
.|.|v
les|les|v
conpaignons|conpaignons|v
##|##
paris|paris|v
li|li4|v
respondirent|respondirent|v
à_poi_de|à_poi_de|v
paroules|paroules|v
##|##
que|que|v
lor|lor|v
sire|sire|v
avoit|avoit|v
non|non2|v
##|##
paris|paris|v
,|,|v
qi|qi|v
estoit|estoit1|v
fis|fis|v
##|##
au|au|v
roi|roi1|v
priant|priant1|v
de|de|v
troie|troie|v
##|##
;|;|v
si|si|v
lor|lor4|v
distrent|distrent|v
encore|encore|v
q’|q’1|v
##|##
il|il1|v
estoient|estoient2|v
en|en|v
cele|cele|v
contree|contree|v
##|##
venus|venus1|v
por|por|v
parler|parler|v
à|à|v
castor|castor1|v
##|##
et|et|v
apollus|apollus1|v
por_ce_qe|por_ce_qe|v
jadis|jadis|v
furent|furent|v
##|##
en|en|v
la|la|v
contree|contree|v
de|de|v
troie|troie|v
##|##
ho|ho|v
les|les|v
gresois|gresois1|v
quant|quant|v
troie|troie|v
##|##
fu|fu1|v
esilliee|esilliee|v
et|et|v
le|le|v
païs|païs1|v
##|##
;|;|v
si|si|v
enmenerent|enmenerent|v
adonc|adonc|v
les|les|v
gresois|gresois2|v
##|##
une|une|v
suor|suor|v
priant|priant1|v
qi|qi|v
estoit|estoit1|v
##|##
ante|ante|v
cestui|cestui1|v
,|,|v
la_qel|la_qel|v
talemon|talemon|v
##|##
tient|tient|v
en|en|v
songnantaje|songnantaje|v
,|,|v
laquel|laquel|v
##|##
cestui|cestui|v
vient|vient|v
lor|lor4|v
demander|demander|v
q’|q’1|v
##|##
il|il|v
la|la1|v
li|li2|v
facent|facent|v
rendre|rendre|v
##|##
.|.|v
"|"||v
et|et|v
c’|c’|v
il|il1|v
##|##
le|le6|v
font|font|v
,|,|v
de_part_diex|de_part_diex|v
soit|soit|v
##|##
,|,|v
nos|nos|v
en|en|v
seroumes|seroumes1|v
aleigre|aleigre2|v
##|##
et|et|v
la|la1|v
enmeneromes|enmeneromes|v
.|.|v
et|et|v
##|##
c’|c’|v
il|il1|v
ne|ne|v
le|le6|v
voudront|voudront|v
##|##
fere|fere|v
,|,|v
je|je|v
vos|vos|v
di|di|v
##|##
qe|qe3|v
encore|encore|v
en|en|v
sordra|sordra|v
grant|grant|v
##|##
males|males|v
et|et|v
grant|grant|v
engonbrier|engonbrier1|v
"|"||v
##|##
.|.|v
coment|coment|v
paris|paris1|v
consoilla|consoilla|v
à|à|v
##|##
ses|ses1|v
conpaignons|conpaignons1|v
d’|d’|v
asailli|asailli|v
le|le|v
##|##
temple|temple1|v
et|et|v
d’|d’|v
olcir|olcir|v
la|la|v
##|##
novelle|novelle|v
est|est3|v
tost|tost|v
corue|corue|v
coment|coment|v
##|##
paris|paris1|v
li|li|v
biaus|biaus|v
,|,|v
le|le|v
##|##
fils|fils|v
au|au|v
roi|roi1|v
priant|priant1|v
,|,|v
##|##
estoit|estoit3|v
à|à|v
l’|l’1|v
isle|isle|v
arivés|arivés2|v
##|##
ho|ho|v
sa|sa|v
navie|navie|v
.|.|v
et|et|v
##|##
quant|quant|v
dame|dame|v
heleine|heleine|v
le|le6|v
sot|sot|v
##|##
,|,|v
elle|elle|v
