FORMA|KEY|SIGL
en|en|p
quoi|quoi|p
jason|jason|p
devoit|devoit|p
aler|aler|p
##|##
au|au|p
colcos|colcos|p
la|la|p
toison|toison|p
d’|d’|p
##|##
our|our|p
qerre|qerre|p
,|,|p
lor|lor3|p
vindrent|vindrent|p
##|##
les|les|p
vaillant|vaillant|p
bacheliers|bacheliers2|p
de_la|de_la|p
contree|contree|p
##|##
,|,|p
cels|cels|p
qi|qi|p
de|de|p
greignor|greignor|p
##|##
pris|pris|p
et|et|p
de|de|p
greignor|greignor1|p
renomee|renomee|p
##|##
estoient|estoient|p
,|,|p
à|à|p
jason|jason1|p
et|et|p
##|##
li|li2|p
hofrirent|hofrirent|p
d’|d’|p
aler|aler|p
en|en|p
##|##
sa|sa|p
conpaignie|conpaignie|p
se|se2|p
à|à|p
lui|lui|p
##|##
plesoit|plesoit|p
.|.|p
jason|jason|p
les|les4|p
mersia|mersia|p
##|##
mult|mult|p
si_come|si_come|p
saje|saje|p
et|et|p
cortois|cortois|p
##|##
,|,|p
si|si|p
lor|lor4|p
dist|dist|p
q’|q’1|p
##|##
il|il|p
amoit|amoit|p
et|et|p
voloit|voloit|p
mult|mult|p
##|##
volontiers|volontiers|p
sa|sa|p
conpaignie|conpaignie|p
,|,|p
et|et|p
##|##
q’|q’1|p
il|il1|p
alassent|alassent2|p
en|en|p
lor|lor2|p
##|##
contree|contree|p
sejorner|sejorner|p
.|.|p
et|et|p
quant|quant|p
##|##
la|la|p
douce|douce|p
saison|saison|p
de_la|de_la|p
primevoille|primevoille|p
##|##
venist|venist|p
,|,|p
il|il1|p
pairassent|pairassent|p
arieres|arieres|p
##|##
là_où|là_où|p
il|il1|p
savront|savront|p
qe|qe3|p
la|la|p
##|##
nef|nef|p
sera|sera|p
.|.|p
et|et|p
il|il|p
##|##
ont|ont1|p
tot|tot|p
ensi|ensi|p
otroié|otroié|p
.|.|p
##|##
si|si|p
ont|ont1|p
pris|pris1|p
de|de|p
lu|lu|p
##|##
conjé|conjé|p
.|.|p
coment|coment|p
jason|jason|p
mist|mist|p
##|##
sa|sa|p
nef|nef|p
de_denz|de_denz|p
la|la|p
mer|mer|p
##|##
et|et|p
se|se|p
recoilli|recoilli|p
entre|entre|p
lui|lui|p
##|##
et|et|p
sa|sa|p
conpaignie|conpaignie|p
et|et|p
se|se1|p
##|##
mistrent|mistrent|p
à_la|à_la|p
voie|voie|p
.|.|p
quant|quant|p
##|##
il|il|p
vint|vint|p
vers|vers|p
la|la|p
saison|saison|p
##|##
dou|dou|p
novel|novel|p
tenz|tenz|p
que|que|p
les|les|p
##|##
hosieis|hosieis|p
chanton|chanton|p
doucement|doucement|p
et|et|p
la|la|p
##|##
plaerie|plaerie|p
est|est1|p
verdoiant|verdoiant|p
et|et|p
revestue|revestue|p
##|##
de|de|p
belles|belles|p
flores|flores|p
de|de|p
deverses|deverses|p
##|##
coulor|coulor1|p
,|,|p
ensement|ensement|p
les|les|p
versiers|versiers|p
##|##
sont|sont2|p
de|de|p
lor|lor5|p
fueilles|fueilles|p
revestus|revestus|p
##|##
et|et|p
l’|l’1|p
ore|ore|p
vente|vente|p
dous|dous|p
##|##
et|et|p
soef|soef|p
,|,|p
adonc|adonc|p
fist|fist1|p
##|##
jason|jason|p
sa|sa|p
nef|nef|p
trere|trere|p
de_denz|de_denz|p
##|##
la|la|p
mer|mer|p
.|.|p
la|la|p
nef|nef|p
##|##
hot|hot1|p
non|non2|p
argon|argon|p
por|por|p
l’|l’1|p
##|##
amor|amor2|p
d’|d’|p
argus|argus1|p
qi|qi|p
fet|fet3|p
##|##
l’|l’4|p
avoit|avoit2|p
et|et|p
hovree|hovree|p
.|.|p
##|##
li|li|p
roi|roi|p
pelleus|pelleus|p
l’|l’4|p
avoit|avoit2|p
##|##
mult|mult|p
bien|bien4|p
fete|fete1|p
garnir|garnir|p
et|et|p
##|##
aparoillier|aparoillier|p
de|de|p
qanqe|qanqe|p
mestier|mestier|p
lor|lor4|p
##|##
fu|fu3|p
.|.|p
adonc|adonc|p
vindren|vindren|p
les|les|p
##|##
chevaliers|chevaliers2|p
et|et|p
les|les|p
conpaignons|conpaignons|p
jason|jason1|p
##|##
,|,|p
si|si|p
entrerent|entrerent|p
de_denz|de_denz|p
la|la|p
##|##
nef|nef|p
.|.|p
hercules|hercules|p
i|i|p
ala|ala|p
##|##
avec|avec|p
jason|jason1|p
por_ce_qe|por_ce_qe|p
son|son|p
parenz|parenz|p
##|##
estoit|estoit|p
auqes|auqes|p
de_pres|de_pres|p
.|.|p
et|et|p
##|##
quant|quant|p
la|la|p
nef|nef|p
fu|fu1|p
mult|mult|p
##|##
bien|bien4|p
aparoilliee|aparoilliee1|p
et|et|p
garnie|garnie|p
,|,|p
##|##
il|il1|p
furent|furent2|p
recoillis|recoillis1|p
tos|tos4|p
,|,|p
##|##
adonc|adonc|p
donna|donna|p
lor|lor5|p
voilles|voilles|p
,|,|p
##|##
si|si|p
se|se1|p
mistrent|mistrent|p
en|en|p
aute|aute|p
##|##
mer|mer|p
.|.|p
et|et|p
tant|tant|p
siglerent|siglerent|p
##|##
à|à|p
