FORMA|KEY|LEMMA|ETIMO|LANG|DATE|POS|FUNCT|gender|number|case|degree|deterType|MWEs|pronType|person|verbForm|mood|tense|voice|property|adpType|advType|advType2|numType|partType|g|h|p|v|LOC.1|LOC.2|LOC.3|LOC.4|DATE.0|DATE.1|DATE.2
amis|amis|ami|AMICUS|||noun||Masc|Sing|Nom||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
amis|amis2|ami|AMICUS|||noun||Masc|Plur|Nom||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
amis|amis3|ami|AMICUS|||noun||Masc|Plur|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
amoit|amoit|amer1|AMARE|||verb|||Sing||||||3|Fin|Ind|Imp|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
amont|amont|amont|MONS|||adverb||||||||||||||||Loc||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
amor|amor|amor|AMOR|||noun||Fem|Sing|||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
amor|amor1|amor|AMOR|||noun||Masc|Sing|Nom||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
amor|amor2|amor|AMOR|||noun||Masc|Sing|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
amors|amors|amor|AMOR|||noun||Masc|Sing|Nom||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
amés|amés|amer1|AMARE|||verb|||Plur||||||2|Fin|Ind|Pres|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
amés|amés2|amer1|AMARE|||verb|compPass|Masc|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
ancres|ancres|ancre|ANCORA|||noun||Fem|Plur|||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
anel|anel|anel|ANELLUS|||noun||Masc|Sing|Nom||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
anel|anel1|anel|ANELLUS|||noun||Masc|Sing|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
ans|ans|an|ANNUS|||noun||Masc|Plur|Nom||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
ans|ans1|an|ANNUS|||noun||Masc|Plur|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
ansien|ansien|anciien|ANTE|||adjective||Masc|Sing|Nom||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
ansois_q’|ansois_q’|ainçois|ANTE|||adverb|SConj ||||||MWEs|||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
ante|ante|ante|AMITA|||noun||Fem|Sing|||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aornee|aornee|aorner2|ADORNARE|||verb|Adj|Fem|Sing|||||||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aparir|aparir|aparoir|APPARERE|||verb||||||||||Ind|Inf|Pres|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aparoil|aparoil|apareil|*APPARICULARE|||noun||Masc|Sing|Nom||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
