FORMA|KEY|SIGL
se|se4|g
faire|faire|g
##|##
volontos|volontos|g
por_ce_q’|por_ce_q’|g
il|il|g
ne|ne|g
pensoit|pensoit|g
##|##
mie|mie|g
à_la|à_la|g
fellonie|fellonie|g
son|son1|g
honcle|honcle|g
##|##
.|.|g
coment|coment|g
pelleus|pelleus|g
comanda|comanda|g
la|la|g
##|##
nef|nef|g
aparoiller|aparoiller|g
por|por|g
jason|jason1|g
envoier|envoier|g
##|##
au|au|g
colcos|colcos|g
la|la|g
toison|toison|g
quere|quere|g
##|##
.|.|g
mult|mult|g
hot|hot1|g
li|li|g
roi|roi|g
##|##
pelleus|pelleus|g
grant|grant4|g
joie|joie|g
de|de|g
ce_qe|ce_qe|g
##|##
jason|jason|g
li|li2|g
respondi|respondi|g
,|,|g
si|si|g
##|##
pensa|pensa|g
maintenant|maintenant|g
de_l’|de_l’|g
ovre|ovre|g
haster|haster|g
##|##
.|.|g
maintenant|maintenant|g
manda|manda|g
li|li|g
roi|roi|g
##|##
pelleus|pelleus|g
por|por|g
le|le|g
plus|plus2|g
soverain|soverain|g
##|##
engigneor|engigneor|g
qi|qi|g
fust|fust1|g
adonc|adonc|g
au|au|g
##|##
monde|monde1|g
,|,|g
qi|qi|g
avoit|avoit|g
non|non2|g
##|##
argus|argus1|g
.|.|g
et|et|g
quant|quant|g
argus|argus|g
##|##
fu|fu|g
devant|devant1|g
li|li|g
roi|roi|g
pelleus|pelleus|g
##|##
,|,|g
li|li|g
roi|roi|g
li|li|g
commanda|commanda|g
##|##
qu’|qu’1|g
il|il|g
feïst|feïst|g
la|la|g
plus|plus2|g
##|##
grant|grant4|g
nef|nef|g
et|et|g
la|la|g
plus|plus2|g
##|##
riche|riche|g
et|et|g
la|la|g
miaudre|miaudre|g
aparoillee|aparoillee6|g
##|##
,|,|g
por|por|g
grant|grant5|g
hondes|hondes|g
soufrir|soufrir|g
##|##
ce|ce2|g
·l|·l1|g
beisoins|beisoins|g
en|en2|g
venist|venist|g
##|##
,|,|g
q’|q’|g
il|il|g
seüst|seüst|g
fere|fere|g
##|##
.|.|g
argus|argus|g
li|li2|g
respondi|respondi|g
qe|qe3|g
##|##
ce|ce1|g
feroit|feroit|g
il|il|g
bien|bien4|g
et|et|g
##|##
volontier|volontier|g
à|à|g
tot|tot3|g
son|son1|g
pooir|pooir|g
##|##
et|et|g
q’|q’1|g
il|il|g
le|le4|g
la|la1|g
##|##
cuidoit|cuidoit|g
doner|doner|g
fete|fete2|g
et|et|g
aparoillee|aparoillee|g
##|##
de_denz|de_denz|g
un|un|g
mois|mois|g
et|et|g
en|en|g
##|##
mains|mains|g
bien|bien4|g
et|et|g
gentement|gentement|g
aparoilliee|aparoilliee|g
##|##
si_come|si_come|g
à|à|g
tel|tel6|g
nef|nef|g
convendroit|convendroit|g
##|##
por|por|g
nagier|nagier|g
en|en|g
aute|aute|g
mer|mer|g
##|##
de|de|g
jor|jor|g
et|et|g
de|de|g
nuit|nuit|g
##|##
.|.|g
coment|coment|g
li|li|g
vaillant|vaillant|g
bachelier|bachelier2|g
##|##
de|de|g
la|la|g
contree|contree|g
vindrent|vindrent|g
à|à|g
##|##
jason|jason1|g
,|,|g
si|si|g
li|li2|g
ofrirent|ofrirent|g
##|##
conpaignie|conpaignie|g
tenir|tenir|g
en|en|g
celui|celui1|g
voiage|voiage|g
##|##
.|.|g
quant|quant|g
la|la|g
novelle|novelle|g
fu|fu1|g
##|##
espandue|espandue|g
coment|coment|g
li|li|g
roi|roi|g
pelleus|pelleus|g
##|##
fesoit|fesoit1|g
une|une|g
grant|grant4|g
nef|nef|g
fer|fer1|g
##|##
à|à|g
mult|mult|g
grant|grant4|g
haste|haste|g
,|,|g
##|##
en|en|g
quoi|quoi|g
jason|jason|g
devoit|devoit|g
aler|aler|g
##|##
au|au|g
colcos|colcos|g
la|la|g
toison|toison|g
d’|d’|g
##|##
our|our|g
qerre|qerre|g
,|,|g
lor|lor3|g
vindrent|vindrent|g
##|##
les|les|g
vaillant|vaillant|g
bacheliers|bacheliers2|g
de_la|de_la|g
contree|contree|g
##|##
,|,|g
cels|cels|g
qi|qi|g
de|de|g
greignor|greignor|g
##|##
pris|pris|g
et|et|g
de|de|g
greignor|greignor1|g
renomee|renomee|g
##|##
estoient|estoient|g
,|,|g
à|à|g
jason|jason1|g
et|et|g
##|##
li|li2|g
hofrirent|hofrirent|g
d’|d’|g
aler|aler|g
en|en|g
##|##
sa|sa|g
conpaignie|conpaignie|g
se|se2|g
à|à|g
lui|lui|g
##|##
plesoit|plesoit|g
.|.|g
jason|jason|g
les|les4|g
mersia|mersia|g
##|##
mult|mult|g
si_come|si_come|g
saje|saje|g
et|et|g
cortois|cortois|g
##|##
,|,|g
si|si|g
lor|lor4|g
dist|dist|g
q’|q’1|g
##|##
il|il|g
amoit|amoit|g
et|et|g
voloit|voloit|g
mult|mult|g
##|##
volontiers|volontiers|g
sa|sa|g
conpaignie|conpaignie|g
,|,|g
et|et|g
##|##
q’|q’1|g
il|il1|g
alassent|alassent2|g
en|en|g
lor|lor2|g
##|##
contree|contree|g
sejorner|sejorner|g
.|.|g
et|et|g
quant|quant|g
##|##
la|la|g
douce|douce|g
saison|saison|g
de_la|de_la|g
primevoille|primevoille|g
##|##
venist|venist|g
,|,|g
il|il1|g
pairassent|pairassent|g
arieres|arieres|g
##|##
là_où|là_où|g
il|il1|g
savront|savront|g
qe|qe3|g
la|la|g
##|##
nef|nef|g
sera|sera|g
.|.|g
et|et|g
il|il|g
##|##
ont|ont1|g
tot|tot|g
ensi|ensi|g
otroié|otroié|g
.|.|g
##|##
si|si|g
ont|ont1|g
pris|pris1|g
de|de|g
lu|lu|g
##|##
conjé|conjé|g
.|.|g
coment|coment|g
jason|jason|g
mist|mist|g
##|##
sa|sa|g
nef|nef|g
de_denz|de_denz|g
la|la|g
mer|mer|g
##|##
et|et|g
se|se|g
recoilli|recoilli|g
entre|entre|g
lui|lui|g
##|##
et|et|g
sa|sa|g
conpaignie|conpaignie|g
et|et|g
se|se1|g
##|##
mistrent|mistrent|g
à_la|à_la|g
voie|voie|g
.|.|g
quant|quant|g
##|##
il|il|g
vint|vint|g
vers|vers|g
la|la|g
saison|saison|g
##|##
dou|dou|g
novel|novel|g
tenz|tenz|g
que|que|g
les|les|g
##|##
hosieis|hosieis|g
chanton|chanton|g
doucement|doucement|g
et|et|g
la|la|g
##|##
plaerie|plaerie|g
est|est1|g
verdoiant|verdoiant|g
et|et|g
revestue|revestue|g
##|##
de|de|g
belles|belles|g
flores|flores|g
de|de|g
deverses|deverses|g
##|##
coulor|coulor1|g
,|,|g
ensement|ensement|g
les|les|g
versiers|versiers|g
##|##
sont|sont2|g
de|de|g
lor|lor5|g
fueilles|fueilles|g
revestus|revestus|g
##|##
et|et|g
l’|l’1|g
ore|ore|g
vente|vente|g
dous|dous|g
##|##
et|et|g
soef|soef|g
,|,|g
adonc|adonc|g
fist|fist1|g
##|##
jason|jason|g
sa|sa|g
nef|nef|g
trere|trere|g
de_denz|de_denz|g
##|##
la|la|g
mer|mer|g
.|.|g
la|la|g
nef|nef|g
##|##
hot|hot1|g
non|non2|g
argon|argon|g
por|por|g
l’|l’1|g
##|##
amor|amor2|g
d’|d’|g
argus|argus1|g
qi|qi|g
fet|fet3|g
##|##
l’|l’4|g
avoit|avoit2|g
et|et|g
hovree|hovree|g
.|.|g
##|##
li|li|g
roi|roi|g
pelleus|pelleus|g
l’|l’4|g
avoit|avoit2|g
##|##
mult|mult|g
